Household Reference Persons Aged 65 Years & Over -> Married Couple-Based With Children (Number):,,,,,,,,,,,,,,,,,,,,,,,,,,,
Married couple-based with children households refer to households with a married household reference person and spouse living with children.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Reference Persons Aged 65 Years & Over -> Married Couple-Based Without Children (Number):,,,,,,,,,,,,,,,,,,,,,,,,,,,
Married couple-based without children households refer to households with a married household reference person and spouse not living with children.  This includes households whereby children of the household reference person have grown up and moved out from the parental home.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Reference Persons Aged 65 Years & Over -> Lone Parent (Number):,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone-parent households refer to households whose household reference person is never-married/widowed/divorced/separated and living with children below 16 years or never-married children.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Reference Persons Aged 65 Years & Over -> Living Alone (Number):,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Living alone households refer to one-person households.  Examples include single persons living alone, or ever-married persons who live alone as their children have grown up and moved out from the parental home.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Reference Persons Aged 65 Years & Over -> Others (Number):,,,,,,,,,,,,,,,,,,,,,,,,,,,
All other households that do not fall under any of the above household living arrangement categories. Examples include: 1) A divorced household reference person living with elderly parents only. 2) A widowed household reference person living with the son and daughter-in-law. 3) A never-married household reference person living with never-married siblings. 4) A household reference person living with unrelated persons only.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Reference Person:,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The household reference person may refer to the oldest member, the main income earner, the owner-occupier of the house, the person who manages the affairs of the household, or the person who supplied the information pertaining to other members. Prior to Census of Population 2020, survey respondents were asked to identify the ‘head of household’. The identified person is used as the reference person to determine relationships between household members. In Census of Population 2020, the term ‘head of household’ has been replaced with ‘household reference person’.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Resident Households:,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Refer to households where the household reference person is a Singapore citizen or permanent resident.
A household refers to (i) a group of two or more persons living together in the same house and sharing common food or other essential arrangements for living; or (ii) a person living alone or a person living with others but having his own food or other essential arrangements for living. Although persons may be living in the same house, they may not be members of the same household.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 01/03/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,
